[PASS] erase_and_blank_reads
[RUN ] page_program_and_readback
[PASS] page_program_and_readback
[RUN ] read_across_page_boundary
[PASS] read_across_page_boundary
[RUN ] nor_programming_behavior
[PASS] nor_programming_behavior
[RUN ] write_preserves_neighbors
[PASS] write_preserves_neighbors
[RUN ] write_across_sector_boundary
[PASS] write_across_sector_boundary
[RUN ] full_sector_sweep
[sector] 0/4095 erase_us=57793 blank_read_us=9238 write_us=31217 verify_read_us=9240 total_us=107488
[sector] 1/4095 erase_us=49193 blank_read_us=9239 write_us=31217 verify_read_us=9240 total_us=98889
[sector] 2/4095 erase_us=47193 blank_read_us=9239 write_us=31216 verify_read_us=9239 total_us=96887
[sector] 3/4095 erase_us=45194 blank_read_us=9239 write_us=31216 verify_read_us=9239 total_us=94888
[sector] 4/4095 erase_us=47194 blank_read_us=9239 write_us=31216 verify_read_us=9239 total_us=96888
[sector] 5/4095 erase_us=45194 blank_read_us=9239 write_us=31216 verify_read_us=9239 total_us=94888
[sector] 6/4095 erase_us=45194 blank_read_us=9239 write_us=31217 verify_read_us=9240 total_us=94890
[sector] 7/4095 erase_us=47193 blank_read_us=9239 write_us=31216 verify_read_us=9239 total_us=96887
[sector] 8/4095 erase_us=47194 blank_read_us=9239 write_us=31216 verify_read_us=9239 total_us=96888
[sector] 9/4095 erase_us=43194 blank_read_us=9239 write_us=31216 verify_read_us=9239 total_us=92888
[sector] 10/4095 erase_us=47194 blank_read_us=9239 write_us=31216 verify_read_us=9239 total_us=96888
[sector] 11/4095 erase_us=47194 blank_read_us=9239 write_us=31216 verify_read_us=9239 total_us=96888
[sector] 12/4095 erase_us=43194 blank_read_us=9239 write_us=31217 verify_read_us=9240 total_us=92890
[sector] 13/4095 erase_us=45193 blank_read_us=9238 write_us=31217 verify_read_us=9240 total_us=94888
[sector] 14/4095 erase_us=45193 blank_read_us=9239 write_us=31216 verify_read_us=9239 total_us=94887
[sector] 15/4095 erase_us=45194 blank_read_us=9239 write_us=31217 verify_read_us=9240 total_us=94890
[sector] 16/4095 erase_us=45193 blank_read_us=9238 write_us=31217 verify_read_us=9240 total_us=94888
[sector] 17/4095 erase_us=45193 blank_read_us=9239 write_us=31216 verify_read_us=9239 total_us=94887
[sector] 18/4095 erase_us=47194 blank_read_us=9239 write_us=31216 verify_read_us=9239 total_us=96888
[sector] 19/4095 erase_us=45194 blank_read_us=9239 write_us=31217 verify_read_us=9240 total_us=94890
[sector] 20/4095 erase_us=45193 blank_read_us=9238 write_us=31217 verify_read_us=9240 total_us=94888
[sector] 21/4095 erase_us=45193 blank_read_us=9238 write_us=31217 verify_read_us=9240 total_us=94888
